treatment,run_id,problem,uses_cohorts,solution_found,solution_length,update_found,program
PROBLEM_compare-string-lengths__TESTS_COEVO,601,compare-string-lengths,1,True,14,629,"[Routine(0110011001000111,1101011001011011,1111010011111100),SubmitTrue(1001100000010000,0100111100001011,1110101001110000),ModuleDef(1111100010110100,1011101101001000,1101100011010000),SwapMem(1010110001110000,1011010101010001,0100110101010100),StrLength(0011111110101011,1101110010100001,1000111010001010),TestNumEqu(0111010010111101,1011111101000010,0101010011110010),Add(1010100010110101,0110000101000100,0111011110111000),Inc(1100100000000010,1100110011100000,0111111010001100),StrLength(1001101101010001,1010110111010001,1111111011011011),While(0110100010011011,1011001011111111,0000001111011110),TestNumLess(1001110100111011,1000110101100011,1010000011110001),StrLength(0011000010111110,1110100001100111,1101100001111110),SubmitFalse(0110111100111001,1010101000011010,1001110001010001),TestNumGreaterTEqu(1101110111111001,0110000000101010,0011010011010111)]"
PROBLEM_compare-string-lengths__TESTS_COEVO,602,compare-string-lengths,1,True,11,2013,"[Not(0000000110001111,0100001111010010,0010011010111010),Close(1101010111000101,1111011100000110,1111101111110000),StrLength(0110111011000111,1101001111110101,1011111101011110),Add(1101111111010001,0110001110001111,0100101101001011),StrLength(0111000010111101,1110011010011101,1001100100011111),TestNumLessTEqu(0000101001100010,0100011011011100,1001111010001100),StrLength(0111101100011010,0001100100111011,1001000010000101),TestNumGreater(0010011000010110,0111011010101000,0000101110101010),SubmitVal(0000111100100110,0001011001100001,0101010110101001),If(1001000010011000,0110101010100111,0111001000000111),TestNumLessTEqu(0110101001001110,1100011000011100,0110100111111100)]"
PROBLEM_compare-string-lengths__TESTS_COEVO,603,compare-string-lengths,1,True,8,889,"[StrLength(0011110111101111,1011111100101010,0111111011000000),SubmitFalse(1100000100100000,1110100110010000,0111001111000001),StrLength(1111110010000011,1101010110010000,0111110000011101),TestNumGreater(1111010100010001,1111111110000101,1110010010000001),LoadStr2(1110000100101001,1000111000001010,0101110110110000),Countdown(1110010011100011,0011000001100011,1100000111101101),SubmitVal(0111011101000001,0000100101111000,0101111011110010),Routine(1011100111100001,1100110001010000,0100111101110111)]"
PROBLEM_compare-string-lengths__TESTS_COEVO,604,compare-string-lengths,1,True,8,492,"[LoadStr2(1011100110110110,1100011011001011,0111001100010000),Countdown(0011100001101011,0011111110010111,1001110010011010),Routine(1101110100101111,1001001110011000,1001011010011100),ModuleDef(1111100100100101,0000000101001000,0001001110101010),StrLength(0111011111001100,1011011101100111,1101010111010111),StrLength(1001001100001100,0101110000001101,0010011111100110),TestNumLess(1011111000111100,0001100111010101,0110100101110110),SubmitVal(0110100100111010,1010101111010010,0010110100000111)]"
PROBLEM_compare-string-lengths__TESTS_COEVO,605,compare-string-lengths,1,True,9,985,"[StrLength(0001101010110111,0100010000100101,0111000001011010),LoadStr2(0011111001100101,1001000000110111,1101101011101001),StrLength(1101001001011101,1010010100100111,0000100101001101),SubmitFalse(1111001100111011,1100110010010000,1001111100110010),TestNumGreater(1001010100110101,1110000110100110,1001100010110100),Sub(0100111101100101,0010011110100110,1011011100001011),While(1001101011011011,1110100010000101,0100010101001111),Routine(1111001111011110,1100011010000001,0111011001111010),SubmitVal(0011001110111001,0001100011101100,0100111110110101)]"
PROBLEM_compare-string-lengths__TESTS_COEVO,606,compare-string-lengths,1,True,11,2665,"[StrLength(0011000010011010,1011110100110101,0000011000111101),Sub(0000010001100000,0010101110110010,1111010010110111),TestNumGreaterTEqu(1011110100000010,1111010011101110,1011111010111010),StrLength(1110001100111100,0011001100000001,0010101011111100),SubmitVal(1110011111111110,1110110001000011,1111011011111000),LoadStr1(1000011111100111,0000101000001010,0011100101001011),Dec(1010001110110100,0111000001001001,0001011101001010),CopyMem(1001111000111101,1011110010001010,0010000011101110),If(0101111011010111,0010010001110000,1100101001001000),StrConcat(1000011110110010,1110110110001111,0001111001101101),Routine(0001101000111010,1111110000011011,0101100111100110)]"
PROBLEM_compare-string-lengths__TESTS_COEVO,607,compare-string-lengths,1,True,9,254,"[LoadStr2(0001101010000010,1101110111100100,1111110010001100),Close(1011110011101000,1111101101001010,0110011000111011),StrLength(0001010101110011,0000000001000001,0000011010110011),LoadStr1(1000111100100001,0010000101011101,0011000000101011),StrLength(1001101110110000,1101111110011010,1110101010111100),TestNumLess(0111011001110100,0011101111001101,1111011110111000),SubmitVal(1011110001111111,0010000101001000,1101001000010110),Countdown(1111110100010110,0000001101000010,0110010011011111),TestNumLess(0000000010101000,1110000100001011,0001111110110001)]"
PROBLEM_compare-string-lengths__TESTS_COEVO,608,compare-string-lengths,1,False,NONE,NONE,"NONE"
PROBLEM_compare-string-lengths__TESTS_COEVO,609,compare-string-lengths,1,True,15,245,"[TestNumGreaterTEqu(1001111010011010,1111110001111111,0100000000100000),StrLength(1000101100000111,1111110100101010,1010011100000010),TestNumGreaterTEqu(0101001111100000,0000100101010010,1011110110010000),Mult(1100010100011100,1111111111000110,1101001111000001),TestNumLessTEqu(0010110010000101,0011111010010110,1010101010010100),If(0110101101100101,1010001000011100,0001010110110010),SubmitVal(1000011111110010,0011000110100100,1000001000010100),LoadStr1(1001101010111101,0000000011000100,0001111100111110),StrLength(1011000110000001,1111110110110010,1001110111100000),Dec(0011111010110010,0101001010011111,0010011010111110),CopyMem(0011010010110000,1011100110000110,0100011111011111),Sub(1100100001000110,1010000001010101,1100010111100010),StrLength(0010111001010100,0011010110101011,0000010100001100),Routine(1011100100111001,0101111100010000,0110110101100101),SubmitVal(1111111001100000,0010101100010110,1101000010101100)]"
PROBLEM_compare-string-lengths__TESTS_COEVO,610,compare-string-lengths,1,True,14,1985,"[Sub(0101001110111010,0101011011011100,0000101010101000),StrLength(0101001010000011,1001101101110000,0000110011011000),Countdown(0101111010110111,1111101101101101,1000111110000100),TestNumGreater(0101000110111010,0101101000101001,0010101010100100),LoadStr1(1100101010010110,1011001101010101,0100110010000100),Return(1111001110001101,0010000110100111,0010000000000100),Close(0010100011111101,1111011011000001,1110000011011101),SubmitFalse(1001000110111011,1111101000010110,1011001000100111),Routine(1001000100111000,0110011101101110,1000110110001100),TestNumLessTEqu(1001101010100101,0111110011001100,0010100000001110),Routine(1001010011111000,0011000010000110,0010010010101011),SubmitVal(0001111100001001,1001010011101111,0100011111111101),Countdown(0000001010100101,1000001001110001,0001111010101110),SubmitFalse(1100010101101000,1010101010001001,1100110011011110)]"
