treatment,run_id,uses_cohorts,solution_found,solution_size,update_found,fitness,num_antagonists,sorts_per_antagonist,network
TESTS_COEVO__SEL_CLEX32,1301,1,True,64,66154,512.5,32,16,"[(11,4),(12,2),(0,5),(3,1),(6,9),(10,14),(9,3),(11,14),(1,6),(4,2),(13,7),(15,8),(13,15),(5,12),(11,5),(0,1),(4,8),(4,10),(2,0),(13,6),(14,15),(7,3),(11,13),(3,4),(4,5),(10,1),(12,9),(8,7),(7,10),(12,15),(9,14),(8,10),(12,13),(1,2),(2,6),(7,5),(4,2),(10,14),(7,6),(11,6),(3,0),(12,10),(7,10),(8,9),(1,3),(14,13),(12,13),(9,11),(4,5),(8,9),(3,4),(9,7),(1,2),(8,6),(10,11),(5,4),(8,5),(9,10),(6,4),(3,2),(6,5),(8,7),(11,12),(3,4)]"
TESTS_COEVO__SEL_CLEX32,1302,1,True,61,108934,512.523,32,16,"[(1,15),(7,6),(5,13),(10,12),(9,8),(13,9),(7,12),(6,1),(14,3),(8,5),(12,13),(9,6),(0,11),(11,14),(4,2),(8,7),(3,0),(4,15),(2,10),(15,14),(3,10),(4,11),(7,4),(2,0),(2,6),(5,1),(8,14),(12,11),(2,4),(10,9),(13,15),(6,9),(13,14),(1,0),(5,3),(5,6),(3,1),(10,12),(3,4),(9,8),(2,1),(12,14),(11,8),(3,2),(10,13),(7,6),(5,4),(12,13),(11,6),(7,10),(6,8),(4,6),(11,9),(7,9),(8,5),(11,10),(5,6),(12,11),(3,4),(8,7),(10,9)]"
TESTS_COEVO__SEL_CLEX32,1303,1,True,61,28471,512.523,32,16,"[(4,6),(3,5),(10,0),(12,8),(14,2),(14,5),(1,11),(13,9),(2,3),(15,7),(15,11),(7,1),(14,15),(3,11),(5,7),(0,4),(12,13),(9,8),(6,10),(8,2),(6,12),(1,0),(10,13),(9,4),(9,11),(3,6),(14,10),(1,8),(7,12),(0,2),(15,13),(13,11),(8,6),(14,12),(10,9),(5,4),(2,4),(13,14),(7,9),(5,8),(9,8),(7,6),(7,10),(12,11),(12,13),(10,11),(1,3),(11,9),(5,8),(1,2),(3,4),(3,2),(5,4),(10,8),(5,7),(12,11),(4,6),(3,4),(6,5),(8,7),(10,9)]"
TESTS_COEVO__SEL_CLEX32,1304,1,True,61,102013,512.523,32,16,"[(13,9),(7,14),(2,4),(5,15),(6,11),(11,13),(1,8),(10,0),(4,15),(6,9),(12,3),(8,12),(3,1),(8,11),(13,15),(2,7),(0,5),(1,6),(14,10),(4,10),(2,0),(3,9),(7,5),(0,1),(14,12),(14,15),(3,8),(5,4),(13,12),(11,10),(7,9),(11,14),(5,8),(6,2),(8,6),(1,2),(13,9),(7,10),(12,7),(3,4),(9,11),(12,6),(2,5),(4,10),(7,6),(13,14),(11,13),(5,4),(3,1),(9,8),(6,4),(2,3),(10,12),(12,9),(8,10),(7,5),(8,7),(12,11),(3,4),(5,6),(9,10)]"
TESTS_COEVO__SEL_CLEX32,1305,1,True,61,389129,512.523,32,16,"[(10,5),(11,3),(15,12),(13,1),(10,15),(3,1),(2,14),(7,8),(12,5),(0,6),(9,4),(13,6),(2,4),(11,8),(14,9),(4,10),(0,7),(13,11),(11,10),(9,6),(7,3),(8,12),(15,14),(13,15),(1,0),(7,14),(3,4),(5,2),(12,9),(8,6),(1,5),(2,0),(1,2),(14,12),(11,13),(10,5),(12,11),(7,10),(6,3),(4,5),(3,1),(8,7),(8,9),(5,8),(6,2),(4,6),(9,10),(11,8),(8,9),(14,13),(12,13),(10,11),(5,7),(4,5),(6,7),(6,5),(3,2),(7,8),(11,12),(9,10),(4,3)]"
TESTS_COEVO__SEL_CLEX32,1306,1,True,61,152072,512.523,32,16,"[(2,11),(10,4),(5,14),(13,12),(7,0),(1,15),(11,14),(8,3),(9,6),(10,9),(5,12),(13,8),(2,3),(0,1),(7,15),(6,4),(6,7),(9,1),(14,13),(13,7),(12,3),(8,11),(1,3),(10,15),(5,4),(12,9),(11,10),(10,3),(0,2),(2,5),(5,7),(6,8),(14,15),(7,3),(13,11),(12,14),(14,13),(5,8),(0,4),(11,12),(5,3),(10,8),(7,11),(10,9),(8,9),(6,4),(2,1),(13,12),(2,6),(9,7),(11,10),(1,4),(6,8),(6,3),(2,4),(11,12),(10,9),(5,8),(8,7),(3,4),(5,6)]"
TESTS_COEVO__SEL_CLEX32,1307,1,True,62,235024,512.516,32,16,"[(11,2),(13,1),(5,9),(8,6),(4,12),(15,14),(6,5),(7,0),(11,12),(3,10),(9,15),(8,10),(9,8),(15,12),(3,0),(4,14),(13,7),(13,10),(13,15),(14,3),(2,1),(4,1),(2,6),(11,7),(3,2),(6,14),(5,0),(5,4),(8,7),(1,0),(11,9),(3,5),(6,3),(5,9),(14,13),(7,1),(4,2),(3,4),(10,12),(6,10),(6,5),(8,6),(7,3),(11,12),(9,8),(11,13),(12,14),(2,1),(6,4),(11,10),(8,10),(7,5),(6,7),(8,7),(11,9),(10,9),(3,2),(13,12),(5,4),(11,12),(3,4),(6,5)]"
TESTS_COEVO__SEL_CLEX32,1308,1,True,62,49367,512.516,32,16,"[(9,5),(1,14),(8,13),(10,4),(3,15),(0,2),(11,12),(15,13),(6,7),(9,12),(14,10),(3,1),(4,6),(7,2),(5,11),(9,6),(15,12),(7,14),(4,5),(8,0),(15,14),(0,1),(3,8),(5,3),(7,12),(10,2),(8,9),(13,11),(13,10),(0,4),(10,7),(2,11),(1,6),(14,13),(13,12),(13,14),(10,11),(11,9),(2,3),(5,7),(8,7),(7,10),(10,6),(11,13),(4,1),(3,4),(1,2),(8,12),(10,9),(4,6),(5,7),(12,10),(2,3),(8,9),(13,14),(4,5),(6,7),(8,7),(10,9),(5,6),(11,12),(3,4)]"
TESTS_COEVO__SEL_CLEX32,1309,1,True,62,89932,512.516,32,16,"[(7,3),(10,1),(13,11),(12,8),(0,14),(9,4),(6,2),(15,5),(2,4),(11,0),(12,14),(1,5),(15,7),(13,10),(8,3),(14,13),(3,0),(9,6),(6,10),(11,8),(4,5),(15,9),(13,9),(1,2),(7,12),(3,4),(10,12),(7,6),(8,2),(11,5),(1,0),(7,9),(14,15),(8,7),(13,14),(8,5),(9,10),(11,14),(3,2),(12,13),(4,9),(6,1),(5,9),(10,11),(4,7),(6,3),(12,8),(14,13),(2,1),(9,10),(9,8),(12,10),(2,3),(6,5),(11,13),(4,5),(6,7),(4,3),(6,5),(12,11),(9,10),(7,8)]"
TESTS_COEVO__SEL_CLEX32,1310,1,True,61,202873,512.523,32,16,"[(6,0),(15,2),(13,7),(10,4),(9,1),(11,3),(8,12),(5,14),(6,14),(1,8),(13,11),(5,0),(1,0),(2,4),(15,10),(7,3),(15,14),(4,7),(9,12),(12,13),(6,8),(2,3),(12,14),(5,9),(1,3),(4,5),(0,2),(7,9),(11,10),(6,10),(11,8),(14,9),(4,1),(15,13),(3,12),(8,12),(13,11),(2,6),(7,10),(11,9),(5,3),(13,14),(7,8),(8,5),(6,4),(12,8),(2,1),(6,3),(9,10),(10,12),(2,4),(9,8),(6,5),(13,11),(6,8),(7,3),(9,10),(5,7),(4,3),(11,12),(7,6)]"
TESTS_COEVO__SEL_CLEX32,1311,1,True,61,186310,512.523,32,16,"[(6,5),(9,10),(14,2),(7,12),(0,4),(9,2),(8,13),(13,14),(15,3),(11,1),(3,0),(5,1),(9,5),(7,8),(10,12),(6,15),(8,3),(10,6),(7,0),(2,1),(11,4),(5,7),(12,15),(11,14),(13,4),(8,9),(2,3),(6,4),(0,1),(11,12),(10,13),(11,7),(13,9),(14,15),(3,7),(4,2),(5,1),(10,6),(2,1),(14,12),(4,5),(13,14),(4,2),(6,3),(12,9),(11,7),(6,8),(10,7),(6,5),(12,13),(9,11),(8,10),(11,10),(7,6),(3,5),(8,9),(3,4),(11,12),(7,8),(9,10),(5,6)]"
