treatment,problem,uses_cohorts,solutions_found,total_runs
PROBLEM_for-loop-index__TESTS_COEVO,for-loop-index,1,19,30
PROBLEM_for-loop-index__TESTS_DRIFT,for-loop-index,1,21,30
PROBLEM_for-loop-index__TESTS_RANDOM,for-loop-index,1,21,30
PROBLEM_for-loop-index__TESTS_STATIC_COHORTS,for-loop-index,1,18,30
PROBLEM_for-loop-index__TESTS_STATIC_FULL,for-loop-index,0,29,30
PROBLEM_median__TESTS_COEVO,median,1,30,30
PROBLEM_median__TESTS_DRIFT,median,1,24,30
PROBLEM_median__TESTS_RANDOM,median,1,26,30
PROBLEM_median__TESTS_STATIC_COHORTS,median,1,29,30
PROBLEM_median__TESTS_STATIC_FULL,median,0,23,30
PROBLEM_number-io__TESTS_COEVO,number-io,1,30,30
PROBLEM_number-io__TESTS_DRIFT,number-io,1,30,30
PROBLEM_number-io__TESTS_RANDOM,number-io,1,30,30
PROBLEM_number-io__TESTS_STATIC_COHORTS,number-io,1,30,30
PROBLEM_number-io__TESTS_STATIC_FULL,number-io,0,30,30
PROBLEM_small-or-large__TESTS_COEVO,small-or-large,1,13,30
PROBLEM_small-or-large__TESTS_DRIFT,small-or-large,1,2,30
PROBLEM_small-or-large__TESTS_RANDOM,small-or-large,1,1,30
PROBLEM_small-or-large__TESTS_STATIC_COHORTS,small-or-large,1,5,30
PROBLEM_small-or-large__TESTS_STATIC_FULL,small-or-large,0,10,30
PROBLEM_smallest__TESTS_COEVO,smallest,1,30,30
PROBLEM_smallest__TESTS_DRIFT,smallest,1,30,30
PROBLEM_smallest__TESTS_RANDOM,smallest,1,25,30
PROBLEM_smallest__TESTS_STATIC_COHORTS,smallest,1,29,30
PROBLEM_smallest__TESTS_STATIC_FULL,smallest,0,27,30
