treatment,test_mode,problem,uses_cohorts,solutions_found,total_runs
PROBLEM_compare-string-lengths__TESTS_COEVO,COEVO,compare-string-lengths,1,29,30
PROBLEM_compare-string-lengths__TESTS_DRIFT,DRIFT,compare-string-lengths,1,7,30
PROBLEM_compare-string-lengths__TESTS_RANDOM,RANDOM,compare-string-lengths,1,24,30
PROBLEM_compare-string-lengths__TESTS_STATIC_COHORTS,STATIC_COHORTS,compare-string-lengths,1,28,30
PROBLEM_compare-string-lengths__TESTS_STATIC_FULL,STATIC_FULL,compare-string-lengths,0,30,30
PROBLEM_for-loop-index__TESTS_COEVO,COEVO,for-loop-index,1,12,30
PROBLEM_for-loop-index__TESTS_DRIFT,DRIFT,for-loop-index,1,12,30
PROBLEM_for-loop-index__TESTS_RANDOM,RANDOM,for-loop-index,1,15,30
PROBLEM_for-loop-index__TESTS_STATIC_COHORTS,STATIC_COHORTS,for-loop-index,1,12,30
PROBLEM_for-loop-index__TESTS_STATIC_FULL,STATIC_FULL,for-loop-index,0,23,30
PROBLEM_median__TESTS_COEVO,COEVO,median,1,27,30
PROBLEM_median__TESTS_DRIFT,DRIFT,median,1,21,30
PROBLEM_median__TESTS_RANDOM,RANDOM,median,1,26,30
PROBLEM_median__TESTS_STATIC_COHORTS,STATIC_COHORTS,median,1,28,30
PROBLEM_median__TESTS_STATIC_FULL,STATIC_FULL,median,0,21,30
PROBLEM_number-io__TESTS_COEVO,COEVO,number-io,1,30,30
PROBLEM_number-io__TESTS_DRIFT,DRIFT,number-io,1,30,30
PROBLEM_number-io__TESTS_RANDOM,RANDOM,number-io,1,30,30
PROBLEM_number-io__TESTS_STATIC_COHORTS,STATIC_COHORTS,number-io,1,30,30
PROBLEM_number-io__TESTS_STATIC_FULL,STATIC_FULL,number-io,0,30,30
PROBLEM_small-or-large__TESTS_COEVO,COEVO,small-or-large,1,5,30
PROBLEM_small-or-large__TESTS_DRIFT,DRIFT,small-or-large,1,0,30
PROBLEM_small-or-large__TESTS_RANDOM,RANDOM,small-or-large,1,0,30
PROBLEM_small-or-large__TESTS_STATIC_COHORTS,STATIC_COHORTS,small-or-large,1,2,30
PROBLEM_small-or-large__TESTS_STATIC_FULL,STATIC_FULL,small-or-large,0,7,30
PROBLEM_smallest__TESTS_COEVO,COEVO,smallest,1,30,30
PROBLEM_smallest__TESTS_DRIFT,DRIFT,smallest,1,30,30
PROBLEM_smallest__TESTS_RANDOM,RANDOM,smallest,1,24,30
PROBLEM_smallest__TESTS_STATIC_COHORTS,STATIC_COHORTS,smallest,1,28,30
PROBLEM_smallest__TESTS_STATIC_FULL,STATIC_FULL,smallest,0,25,30
PROBLEM_sum-of-squares__TESTS_COEVO,COEVO,sum-of-squares,1,3,30
PROBLEM_sum-of-squares__TESTS_DRIFT,DRIFT,sum-of-squares,1,5,30
PROBLEM_sum-of-squares__TESTS_RANDOM,RANDOM,sum-of-squares,1,4,30
PROBLEM_sum-of-squares__TESTS_STATIC_COHORTS,STATIC_COHORTS,sum-of-squares,1,9,30
PROBLEM_sum-of-squares__TESTS_STATIC_FULL,STATIC_FULL,sum-of-squares,0,5,30
